Comunidades y Ciudades Autónomas;Sexo;Sector económico;Situación profesional;Periodo;Total
01 Andalucía;Ambos sexos;Total;Total;2008T4;3.058,2
01 Andalucía;Ambos sexos;Total;Total;2008T3;3.150,9
01 Andalucía;Ambos sexos;Total;Total;2008T2;3.195,8
01 Andalucía;Ambos sexos;Total;Total;2008T1;3.237,8
01 Andalucía;Ambos sexos;Total;Total;2007T4;3.237,7
01 Andalucía;Ambos sexos;Total;Total;2007T3;3.247,3
01 Andalucía;Ambos sexos;Total;Total;2007T2;3.257,7
01 Andalucía;Ambos sexos;Total;Total;2007T1;3.211,8
01 Andalucía;Ambos sexos;Total;Total;2006T4;3.176
01 Andalucía;Ambos sexos;Total;Total;2006T3;3.144,1
01 Andalucía;Ambos sexos;Total;Total;2006T2;3.132,3
01 Andalucía;Ambos sexos;Total;Total;2006T1;3.101,6
01 Andalucía;Ambos sexos;Total;Total;2005T4;3.060,6
01 Andalucía;Ambos sexos;Total;Total;2005T3;3.014,5
01 Andalucía;Ambos sexos;Total;Total;2005T2;2.987,8
01 Andalucía;Ambos sexos;Total;Total;2005T1;2.933,7
01 Andalucía;Ambos sexos;Total;Total;2004T4;2.875,3
01 Andalucía;Ambos sexos;Total;Total;2004T3;2.788,7
01 Andalucía;Ambos sexos;Total;Total;2004T2;2.752,6
01 Andalucía;Ambos sexos;Total;Total;2004T1;2.743,4
01 Andalucía;Ambos sexos;Total;Total;2003T4;2.705,3
01 Andalucía;Ambos sexos;Total;Total;2003T3;2.665,9
01 Andalucía;Ambos sexos;Total;Total;2003T2;2.659,5
01 Andalucía;Ambos sexos;Total;Total;2003T1;2.604,3
01 Andalucía;Ambos sexos;Total;Total;2002T4;2.555,1
01 Andalucía;Ambos sexos;Total;Total;2002T3;2.525,4
01 Andalucía;Ambos sexos;Total;Total;2002T2;2.585,5
01 Andalucía;Ambos sexos;Total;Total;2002T1;2.527,2
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2008T4;534,3
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2008T3;531,2
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2008T2;520,1
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2008T1;514,7
01 Andalucía;Ambos sexos;Total;Empresario o miembro de cooperativa;2007T4;522,9
